gufi,timestamp,departure_runway_actual,departure_runway_actual_time,arrival_runway_actual,arrival_runway_actual_time
AAL2361.CLT.IAH.201108.2143.0097.TFM,2020-11-09 22:01:21,36C,2020-11-09 22:01:21,,
RPA4870.BGR.CLT.201108.1923.0065.TFM,2020-11-09 22:01:39,,,36R,2020-11-09 22:01:39
AAL2755.MSP.CLT.201108.1943.0102.TFM,2020-11-09 22:01:55,,,36L,2020-11-09 22:01:55
JIA5421.CLT.MDT.201108.2128.0106.TFM,2020-11-09 22:02:21,36C,2020-11-09 22:02:21,,
AAL605.CLT.LGA.201108.2133.0012.TFM,2020-11-09 22:03:05,36R,2020-11-09 22:03:05,,
JIA5704.ECP.CLT.201108.2043.0100.TFM,2020-11-09 22:03:15,,,36L,2020-11-09 22:03:15
JIA5181.CLT.DTW.201108.2133.0080.TFM,2020-11-09 22:03:32,36C,2020-11-09 22:03:32,,
AAL1741.CLT.RSW.201108.2138.0117.TFM,2020-11-09 22:03:43,36R,2020-11-09 22:03:43,,
JIA5296.MYR.CLT.201108.2118.0042.TFM,2020-11-09 22:04:10,,,36C,2020-11-09 22:04:10
AAL149.LAS.CLT.201108.1758.0093.TFM,2020-11-09 22:04:15,,,36L,2020-11-09 22:04:15
JIA5067.LYH.CLT.201108.2108.0061.TFM,2020-11-09 22:04:18,,,36R,2020-11-09 22:04:18
AAL1896.CLT.MSY.201108.2143.0078.TFM,2020-11-09 22:05:48,36C,2020-11-09 22:05:48,,
AAL544.AUS.CLT.201108.1943.0064.TFM,2020-11-09 22:05:54,,,36L,2020-11-09 22:05:54
JIA5630.CLT.OAJ.201108.2128.0112.TFM,2020-11-09 22:05:58,36R,2020-11-09 22:05:58,,
AAL801.RSW.CLT.201108.2033.0090.TFM,2020-11-09 22:06:39,,,36C,2020-11-09 22:06:39
JIA5315.CLT.FAY.201108.2138.0078.TFM,2020-11-09 22:06:57,36R,2020-11-09 22:06:57,,
JIA5389.CLE.CLT.201108.2033.0046.TFM,2020-11-09 22:07:07,,,36L,2020-11-09 22:07:07
JIA5161.OAJ.CLT.201108.2103.0061.TFM,2020-11-09 22:07:41,,,36R,2020-11-09 22:07:41
AAL2479.TPA.CLT.201108.2028.0056.TFM,2020-11-09 22:08:31,,,36L,2020-11-09 22:08:31
AAL2850.RDU.CLT.201108.2113.0023.TFM,2020-11-09 22:09:28,,,36R,2020-11-09 22:09:28
JIA5091.CHS.CLT.201108.2113.0088.TFM,2020-11-09 22:09:34,,,36C,2020-11-09 22:09:34
ENY3850.CHA.CLT.201108.2048.0037.TFM,2020-11-09 22:09:49,,,36L,2020-11-09 22:09:49
JIA5204.CLT.DAB.201108.2138.0058.TFM,2020-11-09 22:10:52,36R,2020-11-09 22:10:52,,
AAL2380.OMA.CLT.201108.1948.0016.TFM,2020-11-09 22:11:26,,,36L,2020-11-09 22:11:26
JIA5619.CLT.CHS.201108.2108.0032.TFM,2020-11-09 22:11:30,36R,2020-11-09 22:11:30,,
AAL2552.CLT.EWR.201108.2143.0105.TFM,2020-11-09 22:12:09,36R,2020-11-09 22:12:09,,
RPA3607.ORD.CLT.201108.1953.0074.TFM,2020-11-09 22:12:37,,,36L,2020-11-09 22:12:37
AAL2839.CLT.PVD.201108.2143.0113.TFM,2020-11-09 22:13:06,36R,2020-11-09 22:13:06,,
SKW5384.CLT.DEN.201108.2128.0091.TFM,2020-11-09 22:13:37,36C,2020-11-09 22:13:37,,
JIA5677.CLT.ILM.201108.2118.0066.TFM,2020-11-09 22:14:08,36R,2020-11-09 22:14:08,,
GAJ872.GSO.CLT.201109.1952.0017.TFM,2020-11-09 22:14:31,,,36R,2020-11-09 22:14:31
RPA4522.OKC.CLT.201108.1953.0090.TFM,2020-11-09 22:14:33,,,36L,2020-11-09 22:14:33
JIA5061.CRW.CLT.201108.2048.0062.TFM,2020-11-09 22:15:51,,,36L,2020-11-09 22:15:51
AAL2673.CLT.MCO.201108.2153.0109.TFM,2020-11-09 22:15:53,36R,2020-11-09 22:15:53,,
JIA5279.GSP.CLT.201108.2118.0068.TFM,2020-11-09 22:16:10,,,36C,2020-11-09 22:16:10
JIA5337.ILM.CLT.201108.2113.0097.TFM,2020-11-09 22:16:58,,,36R,2020-11-09 22:16:58
PDT6160.TRI.CLT.201108.2113.0089.TFM,2020-11-09 22:17:08,,,36L,2020-11-09 22:17:08
JIA5033.TYS.CLT.201108.2113.0068.TFM,2020-11-09 22:18:20,,,36L,2020-11-09 22:18:20
AAL326.CLT.FLL.201108.2143.0086.TFM,2020-11-09 22:18:44,36R,2020-11-09 22:18:44,,
AAL2717.MCO.CLT.201108.2033.0100.TFM,2020-11-09 22:19:23,,,36L,2020-11-09 22:19:23
JIA5658.CLT.CHO.201108.2138.0068.TFM,2020-11-09 22:19:42,36R,2020-11-09 22:19:42,,
JIA5425.GNV.CLT.201108.2033.0048.TFM,2020-11-09 22:19:56,,,36C,2020-11-09 22:19:56
JIA5247.GSO.CLT.201108.2113.0083.TFM,2020-11-09 22:20:23,,,36R,2020-11-09 22:20:23
RPA4944.AVL.CLT.201108.2118.0064.TFM,2020-11-09 22:20:52,,,36L,2020-11-09 22:20:52
RPA5772.CLT.LGA.201108.2153.0045.TFM,2020-11-09 22:21:54,36R,2020-11-09 22:21:54,,
PDT6053.CAE.CLT.201108.2113.0084.TFM,2020-11-09 22:21:59,,,36L,2020-11-09 22:21:59
N867PP.CRE.CLT.201109.2039.0014.TMA,2020-11-09 22:22:43,,,36R,2020-11-09 22:22:43
DAL2093.CLT.ATL.201108.2203.0075.TFM,2020-11-09 22:23:12,36C,2020-11-09 22:23:12,,
N869JS.AVL.CLT.201109.1828.0015.TFM,2020-11-09 22:24:03,,,36R,2020-11-09 22:24:03
GAJ515.GSO.CLT.201109.1552.0017.TFM,2020-11-09 22:27:34,,,36R,2020-11-09 22:27:34
ENY4017.CLT.GSO.201108.2118.0060.TFM,2020-11-09 22:29:20,36R,2020-11-09 22:29:20,,
AAL817.BOS.CLT.201108.1613.0116.TFM,2020-11-09 22:31:08,,,36R,2020-11-09 22:31:08
AAL1067.CLT.ATL.201108.2108.0075.TFM,2020-11-09 22:32:16,36C,2020-11-09 22:32:16,,
N857ST.FLL.CLT.201109.1416.0016.TFM,2020-11-09 22:33:22,,,36R,2020-11-09 22:33:22
N77AD.CLT.TUL.201109.2057.0001.TFM,2020-11-09 22:34:56,36R,2020-11-09 22:34:56,,
SWA6999.MDW.CLT.201108.2053.0189.TFM,2020-11-09 22:35:02,,,36C,2020-11-09 22:35:02
DAL2045.CLT.DTW.201108.2228.0108.TFM,2020-11-09 22:37:07,36C,2020-11-09 22:37:07,,
EDV5039.CLT.MSP.201108.2223.0042.TFM,2020-11-09 22:45:51,36C,2020-11-09 22:45:51,,
SWA1046.CLT.BWI.201108.2228.0044.TFM,2020-11-09 22:46:29,36R,2020-11-09 22:46:29,,
RPA3502.CLT.ORD.201108.2228.0059.TFM,2020-11-09 22:48:10,36C,2020-11-09 22:48:10,,
SWA763.CLT.STL.201108.2223.0093.TFM,2020-11-09 22:49:16,36C,2020-11-09 22:49:16,,
NKS1101.CLT.MCO.201108.2233.0044.TFM,2020-11-09 22:49:21,36R,2020-11-09 22:49:21,,
AAL2507.DEN.CLT.201108.1838.0147.TFM,2020-11-09 22:50:12,,,36C,2020-11-09 22:50:12
AAL1711.PUJ.CLT.201108.1958.0095.TFM,2020-11-09 23:01:57,,,36R,2020-11-09 23:01:57
RPA4802.CLT.EYW.201108.2253.0044.TFM,2020-11-09 23:04:47,36C,2020-11-09 23:04:47,,
JIA5024.CLT.LEX.201108.2258.0027.TFM,2020-11-09 23:06:15,36C,2020-11-09 23:06:15,,
AAL1855.SJU.CLT.201108.1953.0109.TFM,2020-11-09 23:07:22,,,36R,2020-11-09 23:07:22
RPA3408.CLT.EWR.201108.2238.0076.TFM,2020-11-09 23:07:28,36C,2020-11-09 23:07:28,,
AAL1398.CLT.DFW.201108.2253.0083.TFM,2020-11-09 23:09:05,36C,2020-11-09 23:09:05,,
JIA5494.MHT.CLT.201108.2113.0085.TFM,2020-11-09 23:09:09,,,36R,2020-11-09 23:09:09
JIA5089.CLT.BHM.201108.2253.0177.TFM,2020-11-09 23:10:05,36C,2020-11-09 23:10:05,,
PDT6015.ITH.CLT.201108.1933.0063.TFM,2020-11-09 23:10:33,,,36R,2020-11-09 23:10:33
RPA4896.CLT.CMH.201108.2253.0040.TFM,2020-11-09 23:10:49,36C,2020-11-09 23:10:49,,
RPA4940.CLT.IND.201108.2258.0094.TFM,2020-11-09 23:11:38,36C,2020-11-09 23:11:38,,
AAL591.PWM.CLT.201108.2108.0083.TFM,2020-11-09 23:11:57,,,36R,2020-11-09 23:11:57
VTE3404.CLT.BKW.201108.2323.0125.TFM,2020-11-09 23:12:10,36C,2020-11-09 23:12:10,,
AAL828.MEX.CLT.201108.1943.0065.TFM,2020-11-09 23:13:28,,,36L,2020-11-09 23:13:28
IFA1439.CLT.KEF.201109.1626.0018.TFM,2020-11-09 23:14:11,36R,2020-11-09 23:14:11,,
JIA5209.CLT.GNV.201108.2303.0011.TFM,2020-11-09 23:14:29,36C,2020-11-09 23:14:29,,
DAL2041.DTW.CLT.201108.2138.0123.TFM,2020-11-09 23:14:38,,,36L,2020-11-09 23:14:38
AAL423.CLT.PHL.201108.2303.0103.TFM,2020-11-09 23:15:01,36R,2020-11-09 23:15:01,,
AAL2761.MSY.CLT.201108.2133.0019.TFM,2020-11-09 23:15:52,,,36L,2020-11-09 23:15:52
AAL2488.CLT.ORD.201108.2258.0054.TFM,2020-11-09 23:15:53,36C,2020-11-09 23:15:53,,
JIA5263.CLT.CHO.201108.2258.0028.TFM,2020-11-09 23:16:05,36R,2020-11-09 23:16:05,,
JIA5199.CLT.TYS.201108.2303.0021.TFM,2020-11-09 23:16:51,36C,2020-11-09 23:16:51,,
ENY3975.CLT.GSO.201108.2253.0090.TFM,2020-11-09 23:17:01,36R,2020-11-09 23:17:01,,
AAL2616.JAX.CLT.201108.2213.0048.TFM,2020-11-09 23:17:08,,,36L,2020-11-09 23:17:08
JIA5435.CLT.ORF.201108.2253.0174.TFM,2020-11-09 23:18:05,36R,2020-11-09 23:18:05,,
AAL690.CLT.MEM.201108.2303.0075.TFM,2020-11-09 23:18:38,36C,2020-11-09 23:18:38,,
PDT6067.EVV.CLT.201108.2213.0037.TFM,2020-11-09 23:18:43,,,36L,2020-11-09 23:18:43
AAL2623.CLT.JAX.201108.2313.0036.TFM,2020-11-09 23:19:11,36R,2020-11-09 23:19:11,,
RPA4687.CLT.SDF.201108.2303.0016.TFM,2020-11-09 23:19:44,36C,2020-11-09 23:19:44,,
RPA4505.MCI.CLT.201108.2128.0018.TFM,2020-11-09 23:19:52,,,36L,2020-11-09 23:19:52
AAL633.CLT.LGA.201108.2308.0101.TFM,2020-11-09 23:20:07,36R,2020-11-09 23:20:07,,
N651BA.CLT.GSP.201109.1812.0010.TFM,2020-11-09 23:20:50,36C,2020-11-09 23:20:50,,
JIA5218.CLT.CAE.201108.2303.0017.TFM,2020-11-09 23:21:06,36R,2020-11-09 23:21:06,,
JIA5325.ABE.CLT.201108.2158.0056.TFM,2020-11-09 23:21:33,,,36R,2020-11-09 23:21:33
AAL2882.SAN.CLT.201108.1913.0099.TFM,2020-11-09 23:22:29,,,36L,2020-11-09 23:22:29
RPA4844.CLT.MCI.201108.2303.0088.TFM,2020-11-09 23:23:08,36C,2020-11-09 23:23:08,,
JIA5035.CLT.RIC.201108.2308.0071.TFM,2020-11-09 23:23:14,36R,2020-11-09 23:23:14,,
PDT6001.CHO.CLT.201108.2228.0054.TFM,2020-11-09 23:23:53,,,36R,2020-11-09 23:23:53
RPA4632.CLT.PIT.201108.2303.0020.TFM,2020-11-09 23:23:54,36C,2020-11-09 23:23:54,,
RPA4705.IND.CLT.201108.2203.0068.TFM,2020-11-09 23:24:00,,,36L,2020-11-09 23:24:00
JIA5053.CLT.XNA.201108.2303.0014.TFM,2020-11-09 23:24:34,36C,2020-11-09 23:24:34,,
PDT6046.CLT.MDT.201108.2253.0047.TFM,2020-11-09 23:25:24,36C,2020-11-09 23:25:24,,
JIA5248.CLT.ILM.201108.2308.0061.TFM,2020-11-09 23:25:44,36R,2020-11-09 23:25:44,,
AAL2419.TPA.CLT.201108.2203.0039.TFM,2020-11-09 23:26:09,,,36L,2020-11-09 23:26:09
JIA5509.CLT.CVG.201108.2303.0030.TFM,2020-11-09 23:26:12,36C,2020-11-09 23:26:12,,
PDT6050.CLT.LYH.201108.2303.0026.TFM,2020-11-09 23:26:25,36R,2020-11-09 23:26:25,,
JIA5609.CLT.AVP.201108.2258.0017.TFM,2020-11-09 23:26:57,36C,2020-11-09 23:26:57,,
JIA5633.CLT.CHS.201108.2308.0021.TFM,2020-11-09 23:27:03,36R,2020-11-09 23:27:03,,
AAL2186.CLT.BNA.201108.2308.0080.TFM,2020-11-09 23:27:41,36C,2020-11-09 23:27:41,,
JIA5146.MOB.CLT.201108.2203.0063.TFM,2020-11-09 23:28:01,,,36L,2020-11-09 23:28:01
ABX3116.CLT.ILN.201109.2200.0007.TFM,2020-11-09 23:28:11,36R,2020-11-09 23:28:11,,
AAL2431.BWI.CLT.201108.2213.0075.TFM,2020-11-09 23:28:57,,,36R,2020-11-09 23:28:57
RPA4707.DSM.CLT.201108.2123.0110.TFM,2020-11-09 23:29:29,,,36L,2020-11-09 23:29:29
JIA5373.CLT.CRW.201108.2308.0017.TFM,2020-11-09 23:30:02,36C,2020-11-09 23:30:02,,
JIA5142.CLT.MHT.201108.2313.0049.TFM,2020-11-09 23:30:48,36R,2020-11-09 23:30:48,,
JIA5514.RAP.CLT.201108.2033.0062.TFM,2020-11-09 23:31:04,,,36L,2020-11-09 23:31:04
RPA4880.CLT.OKC.201108.2313.0054.TFM,2020-11-09 23:31:06,36C,2020-11-09 23:31:06,,
AAL1453.BOS.CLT.201108.2128.0046.TFM,2020-11-09 23:31:31,,,36R,2020-11-09 23:31:31
JIA5451.CLT.PIA.201108.2258.0025.TFM,2020-11-09 23:31:45,36C,2020-11-09 23:31:45,,
JIA5500.DTW.CLT.201108.2203.0062.TFM,2020-11-09 23:32:04,,,36L,2020-11-09 23:32:04
JIA5453.CLT.LIT.201108.2308.0028.TFM,2020-11-09 23:32:31,36C,2020-11-09 23:32:31,,
JIA5387.CLT.MLB.201108.2313.0046.TFM,2020-11-09 23:32:54,36R,2020-11-09 23:32:54,,
AAL877.AUA.CLT.201108.1958.0092.TFM,2020-11-09 23:33:23,,,36L,2020-11-09 23:33:23
AAL2936.DCA.CLT.201108.2228.0091.TFM,2020-11-09 23:33:46,,,36R,2020-11-09 23:33:46
AAL2662.CLT.TUL.201108.2318.0057.TFM,2020-11-09 23:34:27,36C,2020-11-09 23:34:27,,
DAL1664.ATL.CLT.201108.2233.0100.TFM,2020-11-09 23:34:42,,,36L,2020-11-09 23:34:42
AAL894.CLT.AUS.201108.2318.0056.TFM,2020-11-09 23:35:22,36C,2020-11-09 23:35:22,,
AAL1526.CLT.MCO.201108.2318.0071.TFM,2020-11-09 23:35:32,36R,2020-11-09 23:35:32,,
PDT6005.CHA.CLT.201108.2228.0052.TFM,2020-11-09 23:36:11,,,36L,2020-11-09 23:36:11
JIA5094.AVP.CLT.201108.2158.0048.TFM,2020-11-09 23:36:18,,,36R,2020-11-09 23:36:18
AAL576.CLT.TPA.201108.2323.0129.TFM,2020-11-09 23:36:30,36C,2020-11-09 23:36:30,,
JIA5371.CLT.CAK.201108.2313.0035.TFM,2020-11-09 23:37:07,36C,2020-11-09 23:37:07,,
PDT6060.TOL.CLT.201108.2223.0100.TFM,2020-11-09 23:37:35,,,36L,2020-11-09 23:37:35
JIA5696.CLT.VPS.201108.2313.0043.TFM,2020-11-09 23:37:48,36C,2020-11-09 23:37:48,,
AAL774.CLT.RSW.201108.2323.0128.TFM,2020-11-09 23:38:15,36R,2020-11-09 23:38:15,,
JIA5392.MLB.CLT.201108.2213.0058.TFM,2020-11-09 23:38:47,,,36R,2020-11-09 23:38:47
JIA5307.CLT.HSV.201108.2323.0052.TFM,2020-11-09 23:38:48,36C,2020-11-09 23:38:48,,
JIA5127.FNT.CLT.201108.2203.0053.TFM,2020-11-09 23:39:02,,,36L,2020-11-09 23:39:02
JIA5527.CLT.GPT.201108.2313.0034.TFM,2020-11-09 23:39:50,36C,2020-11-09 23:39:50,,
RPA4691.CMH.CLT.201108.2223.0090.TFM,2020-11-09 23:40:26,,,36L,2020-11-09 23:40:26
AAL242.CLT.ATL.201108.2318.0069.TFM,2020-11-09 23:40:53,36C,2020-11-09 23:40:53,,
JIA5676.IAD.CLT.201108.2208.0050.TFM,2020-11-09 23:40:56,,,36R,2020-11-09 23:40:56
JIA5581.OKC.CLT.201108.2138.0069.TFM,2020-11-09 23:42:10,,,36L,2020-11-09 23:42:10
AAL2228.CLT.EWR.201108.2328.0066.TFM,2020-11-09 23:42:43,36R,2020-11-09 23:42:43,,
JIA5151.PNS.CLT.201108.2213.0057.TFM,2020-11-09 23:43:13,,,36L,2020-11-09 23:43:13
AAL45.STT.CLT.201108.2013.0041.TFM,2020-11-09 23:43:19,,,36R,2020-11-09 23:43:19
JIA5355.CLT.SHV.201108.2318.0082.TFM,2020-11-09 23:43:43,36C,2020-11-09 23:43:43,,
JIA5156.CLT.GSP.201108.2313.0056.TFM,2020-11-09 23:44:34,36C,2020-11-09 23:44:34,,
JIA5533.SHV.CLT.201108.2143.0033.TFM,2020-11-09 23:44:49,,,36L,2020-11-09 23:44:49
RPA4792.CLT.MYR.201108.2323.0044.TFM,2020-11-09 23:45:10,36R,2020-11-09 23:45:10,,
PDT6136.CLT.MOB.201108.2318.0020.TFM,2020-11-09 23:45:40,36C,2020-11-09 23:45:40,,
JIA5534.SRQ.CLT.201108.2213.0044.TFM,2020-11-09 23:45:55,,,36L,2020-11-09 23:45:55
JIA5093.EWN.CLT.201108.2258.0023.TFM,2020-11-09 23:46:12,,,36R,2020-11-09 23:46:12
AAL2100.CLT.LAX.201108.2318.0059.TFM,2020-11-09 23:46:46,36C,2020-11-09 23:46:46,,
AAL171.LAX.CLT.201108.1928.0090.TFM,2020-11-09 23:47:04,,,36L,2020-11-09 23:47:04
JIA5137.CLT.AVL.201108.2323.0062.TFM,2020-11-09 23:47:34,36C,2020-11-09 23:47:34,,
AAL771.CLT.MIA.201108.2303.0078.TFM,2020-11-09 23:48:00,36R,2020-11-09 23:48:00,,
JIA5198.CVG.CLT.201108.2223.0138.TFM,2020-11-09 23:48:38,,,36L,2020-11-09 23:48:38
AAL2477.CLT.BWI.201108.2328.0075.TFM,2020-11-09 23:48:46,36R,2020-11-09 23:48:46,,
AAL1396.LGA.CLT.201108.2208.0089.TFM,2020-11-09 23:49:04,,,36R,2020-11-09 23:49:04
JIA5549.CLT.TLH.201108.2323.0109.TFM,2020-11-09 23:49:52,36C,2020-11-09 23:49:52,,
PDT6010.AGS.CLT.201108.2303.0012.TFM,2020-11-09 23:50:03,,,36L,2020-11-09 23:50:03
AAL2854.CLT.RDU.201108.2338.0043.TFM,2020-11-09 23:50:25,36R,2020-11-09 23:50:25,,
RPA4531.CLT.DTW.201108.2323.0031.TFM,2020-11-09 23:50:45,36C,2020-11-09 23:50:45,,
ENY4017.GSO.CLT.201108.2248.0045.TFM,2020-11-09 23:51:00,,,36R,2020-11-09 23:51:00
AAL947.DFW.CLT.201108.2133.0026.TFM,2020-11-09 23:51:18,,,36L,2020-11-09 23:51:18
RPA4814.CLT.DSM.201108.2323.0029.TFM,2020-11-09 23:51:35,36C,2020-11-09 23:51:35,,
PDT6149.CLT.TRI.201108.2323.0113.TFM,2020-11-09 23:52:08,36C,2020-11-09 23:52:08,,
AAL1484.LAS.CLT.201108.1958.0083.TFM,2020-11-09 23:52:28,,,36L,2020-11-09 23:52:28
AAL367.CLT.DCA.201108.2328.0067.TFM,2020-11-09 23:52:43,36R,2020-11-09 23:52:43,,
JIA5523.CLT.JAN.201108.2323.0050.TFM,2020-11-09 23:53:05,36C,2020-11-09 23:53:05,,
SWA849.BWI.CLT.201108.2228.0013.TFM,2020-11-09 23:53:08,,,36R,2020-11-09 23:53:08
JIA5580.CLT.DAY.201108.2333.0037.TFM,2020-11-09 23:53:39,36C,2020-11-09 23:53:39,,
JIA5044.AVL.CLT.201108.2248.0085.TFM,2020-11-09 23:54:08,,,36L,2020-11-09 23:54:08
JIA5291.CLT.BTR.201108.2323.0060.TFM,2020-11-09 23:54:37,36C,2020-11-09 23:54:37,,
PDT6264.CLT.ROA.201108.2333.0080.TFM,2020-11-09 23:54:48,36R,2020-11-09 23:54:48,,
N501RR.SYR.CLT.201108.2213.0110.TFM,2020-11-09 23:55:24,,,36R,2020-11-09 23:55:24
AAL1611.MCO.CLT.201108.2228.0082.TFM,2020-11-09 23:55:27,,,36L,2020-11-09 23:55:27
JIA5383.SYR.CLT.201108.2213.0046.TFM,2020-11-09 23:56:53,,,36L,2020-11-09 23:56:53
AAL2374.CLT.FLL.201108.2328.0079.TFM,2020-11-09 23:57:07,36R,2020-11-09 23:57:07,,
AAL2550.EWR.CLT.201108.2213.0077.TFM,2020-11-09 23:57:25,,,36R,2020-11-09 23:57:25
JIA5648.CLT.OMA.201108.2323.0080.TFM,2020-11-09 23:57:35,36C,2020-11-09 23:57:35,,
JIA5220.GSP.CLT.201108.2303.0028.TFM,2020-11-09 23:58:21,,,36L,2020-11-09 23:58:21
PDT6254.CLT.MGM.201108.2318.0022.TFM,2020-11-09 23:58:26,36C,2020-11-09 23:58:26,,
AAL1728.CLT.BOS.201108.2338.0045.TFM,2020-11-09 23:58:53,36R,2020-11-09 23:58:53,,
AAL727.PHX.CLT.201108.2018.0074.TFM,2020-11-09 23:59:29,,,36L,2020-11-09 23:59:29
AAL200.CLT.IAH.201108.2333.0055.TFM,2020-11-09 23:59:30,36C,2020-11-09 23:59:30,,
USC101.MTN.CLT.201109.1652.0073.TFM,2020-11-09 23:59:39,,,36R,2020-11-09 23:59:39
AAL1152.CLT.SAN.201108.2338.0034.TFM,2020-11-10 00:00:42,36C,2020-11-10 00:00:42,,
JIA5082.TLH.CLT.201108.2218.0064.TFM,2020-11-10 00:01:08,,,36L,2020-11-10 00:01:08
RPA4821.ALB.CLT.201108.2213.0036.TFM,2020-11-10 00:01:17,,,36R,2020-11-10 00:01:17
AAL110.ORD.CLT.201108.2218.0050.TFM,2020-11-10 00:02:21,,,36L,2020-11-10 00:02:21
AAL2345.BDL.CLT.201108.2218.0026.TFM,2020-11-10 00:02:38,,,36R,2020-11-10 00:02:38
JIA5292.CLT.CID.201108.2333.0027.TFM,2020-11-10 00:03:15,36C,2020-11-10 00:03:15,,
PDT6141.CLT.ITH.201108.2333.0078.TFM,2020-11-10 00:03:56,36C,2020-11-10 00:03:56,,
JIA5572.LIT.CLT.201108.2218.0035.TFM,2020-11-10 00:04:04,,,36L,2020-11-10 00:04:04
JIA5659.LYH.CLT.201108.2308.0018.TFM,2020-11-10 00:04:21,,,36R,2020-11-10 00:04:21
AAL1754.CLT.DEN.201108.2353.0049.TFM,2020-11-10 00:04:48,36C,2020-11-10 00:04:48,,
AAL1826.RSW.CLT.201108.2228.0107.TFM,2020-11-10 00:05:13,,,36L,2020-11-10 00:05:13
AAL2561.FLL.CLT.201108.2228.0098.TFM,2020-11-10 00:05:51,,,36R,2020-11-10 00:05:51
AAL794.CUN.CLT.201108.2043.0118.TFM,2020-11-10 00:06:38,,,36L,2020-11-10 00:06:38
AAL2909.CLT.SFO.201108.2338.0027.TFM,2020-11-10 00:06:54,36C,2020-11-10 00:06:54,,
JIA5706.PVD.CLT.201108.2158.0046.TFM,2020-11-10 00:07:41,,,36R,2020-11-10 00:07:41
JIA5326.VPS.CLT.201108.2233.0035.TFM,2020-11-10 00:08:23,,,36L,2020-11-10 00:08:23
AAL2329.CLT.PHX.201108.2333.0068.TFM,2020-11-10 00:08:30,36C,2020-11-10 00:08:30,,
JIA5110.RIC.CLT.201108.2253.0170.TFM,2020-11-10 00:09:08,,,36R,2020-11-10 00:09:08
JIA5173.ROC.CLT.201108.2218.0032.TFM,2020-11-10 00:09:47,,,36L,2020-11-10 00:09:47
RPA4579.HHH.CLT.201108.2308.0027.TFM,2020-11-10 00:10:45,,,36R,2020-11-10 00:10:45
JIA5516.VPS.CLT.201108.2033.0059.TFM,2020-11-10 00:11:10,,,36L,2020-11-10 00:11:10
JIA5446.PHF.CLT.201108.2233.0028.TFM,2020-11-10 00:12:15,,,36R,2020-11-10 00:12:15
AAL1666.SLC.CLT.201108.2013.0074.TFM,2020-11-10 00:12:30,,,36L,2020-11-10 00:12:30
AAL2441.CLT.SAT.201108.2333.0065.TFM,2020-11-10 00:12:34,36C,2020-11-10 00:12:34,,
EJA304.CLT.PDK.201108.2258.0115.TFM,2020-11-10 00:13:42,36R,2020-11-10 00:13:42,,
AAL2522.DEN.CLT.201108.2038.0121.TFM,2020-11-10 00:13:46,,,36L,2020-11-10 00:13:46
JIA5340.ORF.CLT.201108.2253.0162.TFM,2020-11-10 00:14:14,,,36R,2020-11-10 00:14:14
JIA5141.CAE.CLT.201108.2303.0018.TFM,2020-11-10 00:15:24,,,36L,2020-11-10 00:15:24
JIA5422.CLT.PNS.201108.2318.0019.TFM,2020-11-10 00:15:34,36C,2020-11-10 00:15:34,,
RPA4734.EYW.CLT.201108.2213.0022.TFM,2020-11-10 00:16:00,,,36R,2020-11-10 00:16:00
PDT6145.LEX.CLT.201108.2248.0075.TFM,2020-11-10 00:16:40,,,36L,2020-11-10 00:16:40
JIA5693.MYR.CLT.201108.2308.0029.TFM,2020-11-10 00:17:20,,,36R,2020-11-10 00:17:20
AAL773.BNA.CLT.201108.2303.0076.TFM,2020-11-10 00:17:59,,,36L,2020-11-10 00:17:59
AAL715.MBJ.CLT.201108.2048.0071.TFM,2020-11-10 00:18:41,,,36R,2020-11-10 00:18:41
RPA4513.CLE.CLT.201108.2228.0058.TFM,2020-11-10 00:19:26,,,36L,2020-11-10 00:19:26
JIA5518.CLT.SAV.201108.2308.0019.TFM,2020-11-10 00:20:36,36R,2020-11-10 00:20:36,,
RPA4807.MKE.CLT.201108.2223.0087.TFM,2020-11-10 00:20:54,,,36L,2020-11-10 00:20:54
JIA5677.ILM.CLT.201108.2258.0031.TFM,2020-11-10 00:21:21,,,36R,2020-11-10 00:21:21
JIA5445.BHM.CLT.201108.2308.0026.TFM,2020-11-10 00:22:19,,,36L,2020-11-10 00:22:19
JIA5339.CHS.CLT.201108.2318.0070.TFM,2020-11-10 00:22:58,,,36R,2020-11-10 00:22:58
AAL2319.AUS.CLT.201108.2148.0043.TFM,2020-11-10 00:23:39,,,36L,2020-11-10 00:23:39
ASH6022.IAD.CLT.201108.2303.0108.TFM,2020-11-10 00:24:17,,,36R,2020-11-10 00:24:17
RPA4537.SDF.CLT.201108.2218.0007.TFM,2020-11-10 00:28:37,,,36L,2020-11-10 00:28:37
USC101.CLT.FTY.201109.1656.0021.TFM,2020-11-10 00:33:24,36R,2020-11-10 00:33:24,,
AAL585.CLT.CLE.201108.2253.0087.TFM,2020-11-10 00:35:40,36C,2020-11-10 00:35:40,,
AAL163.DFW.CLT.201108.2228.0085.TFM,2020-11-10 00:41:16,,,36L,2020-11-10 00:41:16
N555VW.LZU.CLT.201109.1552.0048.TFM,2020-11-10 00:43:28,,,36R,2020-11-10 00:43:28
PDT6168.ROA.CLT.201108.2303.0015.TFM,2020-11-10 00:44:50,,,36R,2020-11-10 00:44:50
UAL541.IAH.CLT.201108.2233.0020.TFM,2020-11-10 00:46:25,,,36L,2020-11-10 00:46:25
SWA1192.MDW.CLT.201108.2313.0055.TFM,2020-11-10 00:47:49,,,36L,2020-11-10 00:47:49
